WKT,id,x_center,y_center
"POLYGON ((123.914794921874801 6.991859181483683,123.914794921874801 7.002763681982739,123.925781249999801 7.002763681982739,123.925781249999801 6.991859181483682,123.914794921874801 6.991859181483683))",2910,123.920288,6.997311
"POLYGON ((123.914794921874801 6.980954426458485,123.914794921874801 6.991859181483683,123.925781249999801 6.991859181483682,123.925781249999801 6.980954426458484,123.914794921874801 6.980954426458485))",2911,123.920288,6.986407
"POLYGON ((123.914794921874801 6.970049417296221,123.914794921874801 6.980954426458485,123.925781249999801 6.980954426458484,123.925781249999801 6.97004941729622,123.914794921874801 6.970049417296221))",2912,123.920288,6.975502
"POLYGON ((123.914794921874801 6.959144154386007,123.914794921874801 6.970049417296221,123.925781249999801 6.97004941729622,123.925781249999801 6.959144154386006,123.914794921874801 6.959144154386007))",2913,123.920288,6.964597
"POLYGON ((123.914794921874801 6.94823863811701,123.914794921874801 6.959144154386007,123.925781249999801 6.959144154386006,123.925781249999801 6.94823863811701,123.914794921874801 6.94823863811701))",2914,123.920288,6.953691
"POLYGON ((123.914794921874801 6.937332868878439,123.914794921874801 6.94823863811701,123.925781249999801 6.94823863811701,123.925781249999801 6.937332868878439,123.914794921874801 6.937332868878439))",2915,123.920288,6.942786
"POLYGON ((123.914794921874801 6.926426847059552,123.914794921874801 6.937332868878439,123.925781249999801 6.937332868878439,123.925781249999801 6.926426847059552,123.914794921874801 6.926426847059552))",2916,123.920288,6.931880
"POLYGON ((123.914794921874801 6.915520573049648,123.914794921874801 6.926426847059552,123.925781249999801 6.926426847059552,123.925781249999801 6.915520573049648,123.914794921874801 6.915520573049648))",2917,123.920288,6.920974
"POLYGON ((123.914794921874801 6.904614047238078,123.914794921874801 6.915520573049648,123.925781249999801 6.915520573049648,123.925781249999801 6.904614047238077,123.914794921874801 6.904614047238078))",2918,123.920288,6.910067
"POLYGON ((123.914794921874801 6.893707270014231,123.914794921874801 6.904614047238078,123.925781249999801 6.904614047238077,123.925781249999801 6.893707270014231,123.914794921874801 6.893707270014231))",2919,123.920288,6.899161
"POLYGON ((123.914794921874801 6.882800241767549,123.914794921874801 6.893707270014231,123.925781249999801 6.893707270014231,123.925781249999801 6.882800241767549,123.914794921874801 6.882800241767549))",2920,123.920288,6.888254
"POLYGON ((123.914794921874801 6.871892962887514,123.914794921874801 6.882800241767549,123.925781249999801 6.882800241767549,123.925781249999801 6.871892962887514,123.914794921874801 6.871892962887514))",2921,123.920288,6.877347
"POLYGON ((123.914794921874801 6.860985433763655,123.914794921874801 6.871892962887514,123.925781249999801 6.871892962887514,123.925781249999801 6.860985433763655,123.914794921874801 6.860985433763655))",2922,123.920288,6.866439
"POLYGON ((123.914794921874801 6.850077654785549,123.914794921874801 6.860985433763655,123.925781249999801 6.860985433763655,123.925781249999801 6.850077654785548,123.914794921874801 6.850077654785549))",2923,123.920288,6.855532
"POLYGON ((123.914794921874801 6.839169626342808,123.914794921874801 6.850077654785549,123.925781249999801 6.850077654785548,123.925781249999801 6.839169626342806,123.914794921874801 6.839169626342808))",2924,123.920288,6.844624
"POLYGON ((123.914794921874801 6.828261348825104,123.914794921874801 6.839169626342808,123.925781249999801 6.839169626342806,123.925781249999801 6.828261348825105,123.914794921874801 6.828261348825104))",2925,123.920288,6.833715
"POLYGON ((123.914794921874801 6.817352822622142,123.914794921874801 6.828261348825104,123.925781249999801 6.828261348825105,123.925781249999801 6.817352822622142,123.914794921874801 6.817352822622142))",2926,123.920288,6.822807
"POLYGON ((123.914794921874801 6.806444048123677,123.914794921874801 6.817352822622142,123.925781249999801 6.817352822622142,123.925781249999801 6.806444048123679,123.914794921874801 6.806444048123677))",2927,123.920288,6.811898
"POLYGON ((123.914794921874801 6.795535025719513,123.914794921874801 6.806444048123677,123.925781249999801 6.806444048123679,123.925781249999801 6.795535025719512,123.914794921874801 6.795535025719513))",2928,123.920288,6.800990
"POLYGON ((123.914794921874801 6.784625755799491,123.914794921874801 6.795535025719513,123.925781249999801 6.795535025719512,123.925781249999801 6.784625755799488,123.914794921874801 6.784625755799491))",2929,123.920288,6.790080
"POLYGON ((123.914794921874801 6.773716238753493,123.914794921874801 6.784625755799491,123.925781249999801 6.784625755799488,123.925781249999801 6.773716238753492,123.914794921874801 6.773716238753493))",2930,123.920288,6.779171
"POLYGON ((123.925781249999801 7.384257828309255,123.925781249999801 7.395152907137245,123.936767578124787 7.395152907137247,123.936767578124787 7.384257828309254,123.925781249999801 7.384257828309255))",2969,123.931274,7.389705
"POLYGON ((123.925781249999801 7.37336248097963,123.925781249999801 7.384257828309255,123.936767578124787 7.384257828309254,123.936767578124787 7.37336248097963,123.925781249999801 7.37336248097963))",2970,123.931274,7.378810
"POLYGON ((123.925781249999801 7.362466865535738,123.925781249999801 7.37336248097963,123.936767578124787 7.37336248097963,123.936767578124787 7.362466865535736,123.925781249999801 7.362466865535738))",2971,123.931274,7.367915
"POLYGON ((123.925781249999801 7.351570982365007,123.925781249999801 7.362466865535738,123.936767578124787 7.362466865535736,123.936767578124787 7.351570982365007,123.925781249999801 7.351570982365007))",2972,123.931274,7.357019
"POLYGON ((123.925781249999801 7.340674831854914,123.925781249999801 7.351570982365007,123.936767578124787 7.351570982365007,123.936767578124787 7.340674831854912,123.925781249999801 7.340674831854914))",2973,123.931274,7.346123
"POLYGON ((123.925781249999801 7.329778414392969,123.925781249999801 7.340674831854914,123.936767578124787 7.340674831854912,123.936767578124787 7.329778414392969,123.925781249999801 7.329778414392969))",2974,123.931274,7.335227
"POLYGON ((123.925781249999801 7.318881730366751,123.925781249999801 7.329778414392969,123.936767578124787 7.329778414392969,123.936767578124787 7.318881730366748,123.925781249999801 7.318881730366751))",2975,123.931274,7.324330
"POLYGON ((123.925781249999801 7.307984780163871,123.925781249999801 7.318881730366751,123.936767578124787 7.318881730366748,123.936767578124787 7.307984780163872,123.925781249999801 7.307984780163871))",2976,123.931274,7.313433
"POLYGON ((123.925781249999801 7.297087564171997,123.925781249999801 7.307984780163871,123.936767578124787 7.307984780163872,123.936767578124787 7.297087564171997,123.925781249999801 7.297087564171997))",2977,123.931274,7.302536
"POLYGON ((123.925781249999801 7.286190082778839,123.925781249999801 7.297087564171997,123.936767578124787 7.297087564171997,123.936767578124787 7.286190082778841,123.925781249999801 7.286190082778839))",2978,123.931274,7.291639
"POLYGON ((123.925781249999801 7.275292336372166,123.925781249999801 7.286190082778839,123.936767578124787 7.286190082778841,123.936767578124787 7.275292336372166,123.925781249999801 7.275292336372166))",2979,123.931274,7.280741
"POLYGON ((123.925781249999801 7.264394325339775,123.925781249999801 7.275292336372166,123.936767578124787 7.275292336372166,123.936767578124787 7.264394325339775,123.925781249999801 7.264394325339775))",2980,123.931274,7.269843
"POLYGON ((123.925781249999801 7.253496050069528,123.925781249999801 7.264394325339775,123.936767578124787 7.264394325339775,123.936767578124787 7.25349605006953,123.925781249999801 7.253496050069528))",2981,123.931274,7.258945
"POLYGON ((123.925781249999801 7.242597510949332,123.925781249999801 7.253496050069528,123.936767578124787 7.25349605006953,123.936767578124787 7.242597510949332,123.925781249999801 7.242597510949332))",2982,123.931274,7.248047
"POLYGON ((123.925781249999801 7.155399745953592,123.925781249999801 7.166300381903176,123.936767578124787 7.166300381903176,123.936767578124787 7.155399745953592,123.925781249999801 7.155399745953592))",2990,123.931274,7.160850
"POLYGON ((123.925781249999801 7.144498849647324,123.925781249999801 7.155399745953592,123.936767578124787 7.155399745953592,123.936767578124787 7.144498849647324,123.925781249999801 7.144498849647324))",2991,123.931274,7.149949
"POLYGON ((123.925781249999801 7.133597693372749,123.925781249999801 7.144498849647324,123.936767578124787 7.144498849647324,123.936767578124787 7.133597693372749,123.925781249999801 7.133597693372749))",2992,123.931274,7.139048
"POLYGON ((123.925781249999801 7.12269627751829,123.925781249999801 7.133597693372749,123.936767578124787 7.133597693372749,123.936767578124787 7.12269627751829,123.925781249999801 7.12269627751829))",2993,123.931274,7.128147
"POLYGON ((123.925781249999801 7.111794602472418,123.925781249999801 7.12269627751829,123.936767578124787 7.12269627751829,123.936767578124787 7.111794602472418,123.925781249999801 7.111794602472418))",2994,123.931274,7.117245
"POLYGON ((123.925781249999801 7.100892668623644,123.925781249999801 7.111794602472418,123.936767578124787 7.111794602472418,123.936767578124787 7.100892668623644,123.925781249999801 7.100892668623644))",2995,123.931274,7.106344
"POLYGON ((123.925781249999801 7.089990476360541,123.925781249999801 7.100892668623644,123.936767578124787 7.100892668623644,123.936767578124787 7.089990476360542,123.925781249999801 7.089990476360541))",2996,123.931274,7.095442
"POLYGON ((123.925781249999801 7.079088026071714,123.925781249999801 7.089990476360541,123.936767578124787 7.089990476360542,123.936767578124787 7.079088026071712,123.925781249999801 7.079088026071714))",2997,123.931274,7.084539
"POLYGON ((123.925781249999801 7.068185318145822,123.925781249999801 7.079088026071714,123.936767578124787 7.079088026071712,123.936767578124787 7.068185318145823,123.925781249999801 7.068185318145822))",2998,123.931274,7.073637
